16,Central 1,622206,,622206,SS QSS B.CAVES,Brh,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,820,101.36,109.54,113.88,0.00,0.00,184.21,53.44,44.53,36.67,81.21,D,D,79,22
6,Central 2,522106,PSSB GLENMARIE,622106,GLENMARIE,Brh,3S,184,114.29,185.11,157.48,,101.94,145.83,46.88,3347,108.21,110.62,160.62,163.48,125.27,193.33,54.00,79.10,44.49,123.59,A,A,3,1
2,Central 2,522105,PSSB PUTRA JAYA,622105,PUTRAJAYA,Brh,1+2S,185,104.52,120.69,125.86,,85.87,102.30,100.00,2670,125.59,123.48,191.16,158.00,172.24,195.56,52.99,75.16,42.21,117.37,A,A,9,2
43,Central 2,121167,YUSMANIDA AUTO SDN BHD,221101,YUSMANIDA AUTO SDN BHD,Dlr,3S,158,101.28,102.46,147.70,,85.11,144.44,100.00,3002,106.38,109.49,169.39,113.16,119.12,196.19,53.67,69.51,43.86,113.38,A,A,22,3
20,Central 2,122068,ALLY SALES SDN BHD,222117,ACCESSCORP AUTOMOBILE SDN BHD (KG.BARU),Dlr,3S,114,100.88,95.36,110.29,,5.00,14.44,16.67,965,137.46,115.07,152.61,133.17,156.71,195.83,189.60,55.79,55.03,110.82,A,A,31,4
23,Central 2,121084,DMM SALES SDN BHD(SELAYANG),221042,DMM SALES SDN BHD (SELAYANG),Dlr,1+2S,156,113.87,137.39,161.80,,144.90,111.67,0.00,1167,101.04,91.15,142.02,54.54,88.09,192.00,48.34,65.61,43.28,108.89,A,A,36,5
25,Central 2,121116,EXCELLENT DEAL (M) SDN BHD,221118,EXCELLENT DEAL (M) SDN BHD,Dlr,1+2S,205,100.00,111.89,144.45,,50.00,76.25,0.00,2136,137.28,152.84,163.19,125.76,191.01,189.80,52.72,65.22,42.69,107.91,A,A,39,6
75,Central 2,121056,ZUMITAS SDN BHD,221122,ZUMITAS SDN BHD,Dlr,3S,174,106.10,115.59,133.33,,22.00,37.50,0.00,817,137.08,120.97,94.11,170.14,159.19,194.74,56.40,61.39,38.41,99.79,A,A,58,7
42,Central 2,141147,TAKZIM DINAMIK SDN BHD,221116,TAKZIM DINAMIK SDN BHD,Dlr,3S,139,101.46,107.73,125.38,,59.18,78.89,0.00,1610,112.75,139.57,162.45,117.61,129.35,186.96,49.99,59.89,39.83,99.71,A,A,62,8
30,Central 2,121042,AUTOCRAFT MOTOR CARRIAGES SB,221025,AUTOCRAFT MOTOR CARRIAGES SDN BHD,Dlr,3S,287,101.06,117.73,122.19,,47.17,106.25,0.00,1907,107.26,107.90,63.55,84.40,103.66,132.24,126.35,58.15,40.72,98.87,A,A,65,9
24,Central 2,121094,DMM SALES SDN BHD(SERI KEM),222037,DMM SALES SDN BHD (SERI KEMBANGAN),Dlr,3S,187,101.08,113.52,152.22,,26.09,42.50,0.00,2071,114.80,116.69,151.82,111.17,140.84,198.54,47.06,55.57,42.81,98.38,A,A,69,10
21,Central 2,121176,DC AUTO SERVICES SDN BHD,221120,DC AUTO SERVICES SDN BHD (SUNGAI TUA),Dlr,3S,218,107.39,112.08,157.13,,20.31,16.25,0.00,1421,121.14,117.46,107.97,98.35,119.80,200.00,52.09,53.92,41.80,95.72,A,A,80,11
33,Central 2,121072,DMM SALES SDN BHD(PJ),221038,DMM SALES SDN BHD (PETALING JAYA),Dlr,1+2S,151,111.03,150.61,130.79,,65.22,50.83,0.00,1094,101.11,80.01,151.01,56.19,60.07,135.71,58.03,56.18,38.18,94.37,A,A,84,12
39,Central 2,121170,NAGOYA AUTOMOBILE MALAYSIA HOLDING SDN BHD,221105,NAGOYA AUTOMOBILE MALAYSIA HOLDING SDN. BHD.,Dlr,3S,181,100.56,92.63,135.01,,39.29,67.50,0.00,2047,108.14,109.70,124.15,99.49,121.15,185.29,52.96,53.84,39.27,93.11,A,A,89,13
40,Central 2,121096,PB MOTOR SDN BHD,221090,P.B. MOTOR SDN. BHD.,Dlr,3S,235,101.29,95.89,122.25,,80.60,123.13,0.00,1399,95.95,93.45,31.75,75.26,118.07,189.83,50.45,57.55,32.79,90.34,A,A,97,14
31,Central 2,121108,BAKATEAM SDN BHD,222116,BAKATEAM SDN BHD,Dlr,3S,189,103.85,104.49,130.82,,21.31,17.50,0.00,1676,106.08,124.39,93.24,119.95,135.36,188.89,43.95,52.34,36.22,88.56,A,A,101,15
41,Central 2,121180,ROHAMAS PRO AUTOSERV SDN BHD,222109,ROHAMAS PRO AUTOSERV SDN.BHD,Dlr,3S,91,101.11,108.53,114.08,,0.00,13.33,0.00,1036,117.46,118.96,114.37,114.16,120.54,200.00,50.75,51.36,36.70,88.05,A,C,103,16
44,Central 2,121182,YUSMANIDA AUTO SDN BHD (PUNCAK ALAM),221125,YUSMANIDA AUTO SDN BHD (PUNCAK ALAM),Dlr,3S,49,108.89,88.04,0.00,,0.00,0.00,0.00,857,116.92,130.57,196.24,169.75,149.95,200.00,0.00,52.57,20.80,73.38,B,D,119,17
55,Central 2,121046,JAHIM AUTO SDN BHD,221127,JAHIM AUTO SDN BHD,Dlr,3S,107,85.60,91.49,119.04,,23.26,36.67,0.00,578,110.52,96.60,110.76,110.95,99.86,200.00,0.00,48.30,30.90,79.20,C,D,125,18
38,Central 2,121177,MERPATI AUTO SERVICES SDN BHD,221088,MERPATI AUTO SERVICES SDN BHD,Dlr,3S,142,105.19,109.44,130.18,,0.00,7.78,0.00,1276,100.47,106.31,122.10,80.60,98.52,62.79,49.89,47.19,31.77,78.95,C,D,126,19
5,Central 2,522205,PSSB BALAKONG,666666,,Brh,1S,126,104.13,182.06,137.49,,82.18,101.67,66.67,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.99,41.25,117.24,A,A,9,1
11,Central 2,522111,PSSB PANDAN PRIMA,666666,,Brh,1S,117,111.43,129.09,142.15,,76.19,89.24,109.52,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.18,42.65,116.82,A,A,10,2
10,Central 2,522109,PSSB KOTA DAMANSARA,666666,,Brh,1S,106,92.98,132.60,141.36,,72.31,102.15,60.87,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.93,42.41,107.34,A,A,13,3
46,Central 2,121073,DMM SALES SDN BHD(MID VALLEY),222222,,Dlr,1S,160,104.58,139.36,148.30,,77.55,81.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.19,44.49,102.68,C,C,17,4
68,Central 2,122065,SUASA SURIA SDN BHD,222222,,Dlr,1S,120,110.09,138.20,141.16,,33.33,37.78,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.93,42.35,92.28,C,C,27,5
61,Central 2,121044,P2 AUTOMOBILE SDN BHD,222222,,Dlr,1S,127,103.25,141.92,127.67,,51.22,56.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.88,38.30,91.18,C,C,29,6
65,Central 2,121112,RANGKA RAYA SDN BHD,222222,,Dlr,1S,137,101.48,126.51,118.13,,39.13,93.33,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.93,35.44,88.37,C,D,30,7
57,Central 2,122114,MERPATI HASIL SDN BHD,222222,,Dlr,1S,234,106.36,101.59,134.74,,42.03,32.50,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.38,40.42,84.81,C,C,33,8
56,Central 2,121163,KOBUDI SDN BHD,222222,,Dlr,1S,193,100.00,103.66,123.02,,44.12,41.88,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.54,36.91,81.45,C,D,39,9
49,Central 2,122152,FARESH MOTOR (M) SDN BHD,222222,,Dlr,1S,102,73.91,88.53,148.40,,20.51,38.89,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.15,44.52,78.67,C,C,41,10
52,Central 2,122154,HAJOON SDN BHD KERAMAT (KMT),222222,,Dlr,1S,127,103.25,104.91,126.08,,18.42,10.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.35,37.82,77.18,C,C,44,11
50,Central 2,121045,G.A. TRADING SDN BHD,222222,,Dlr,1S,138,101.47,118.64,126.64,,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.92,37.99,75.91,C,C,46,12
70,Central 2,122130,VISTA SURGE SDN BHD,222222,,Dlr,1S,93,103.33,146.58,111.50,,23.68,26.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.51,33.45,80.96,D,D,48,13
66,Central 2,121053,RODA KAYANGAN SALES SDN BHD,222222,,Dlr,1S,171,102.40,104.47,113.31,,39.58,57.78,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.35,33.99,80.34,D,D,49,14
106,Central 2,122156,INGRESS MOTORS SDN BHD,222222,,Dlr,1S,91,101.11,93.57,102.44,,0.00,1.67,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.51,30.73,65.24,D,D,59,15
69,Central 2,122066,UB AUTOMOBILE SDN BHD,222222,,Dlr,1S,111,100.00,111.49,45.53,,29.03,70.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,47.01,13.66,60.66,D,D,61,16
48,Central 2,121141,EDENIA SDN BHD,222222,,Dlr,1S,98,89.09,99.83,56.72,,20.00,23.33,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.24,17.02,54.25,D,D,66,17
18,Central 2,622108,,622108,KLANG2,Brh,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1669,104.77,111.29,101.15,145.26,178.34,200.00,116.41,74.69,52.03,126.72,A,A,4,1
102,Central 2,221051,,221051,SENTELL JAYA SDN BHD,Dlr,2S,0,0.00,0.00,0.00,,0.00,0.00,0.00,1318,102.41,114.22,196.47,81.31,75.48,200.00,47.79,59.96,43.19,103.14,A,B,12,2
