8,Central 1,622204,,622204,SEGAMBUT,Brh,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1979,107.73,101.29,40.36,111.53,118.69,196.57,54.23,64.42,31.97,96.39,35,8,B,B
9,Central 1,221022,,221022,AAW SOLUTIONS SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,2079,100.44,105.59,59.60,122.94,103.95,200.00,48.01,63.84,32.29,96.13,36,9,B,B
10,Central 1,221055,,221055,ANM AUTOMOBILE SDN BHD.,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,978,100.83,119.84,35.69,114.57,104.09,192.59,45.13,66.59,29.09,95.68,38,10,B,B
11,Central 1,221048,,221048,KEAN TAT CAR SERVICES SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,941,104.44,114.28,56.88,121.79,111.42,196.49,27.52,67.21,26.87,94.09,44,11,B,B
12,Central 1,222033,,222033,COMMECTS (M) SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,828,100.49,100.67,31.09,107.90,118.46,193.55,54.81,62.62,31.12,93.75,47,12,B,B
13,Central 1,221083,,221083,DC AUTO SERVICES SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1325,108.79,105.49,32.31,111.41,100.61,183.78,50.61,63.98,29.43,93.42,48,13,B,B
14,Central 1,221018,,221018,SYARIKAT PERNIAGAAN SOON LEE,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1728,116.68,100.17,31.19,91.77,124.71,195.12,43.44,64.53,28.53,93.06,49,14,B,B
15,Central 1,221020,,221020,SOONG MENG MOTOR SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,999,103.42,100.15,28.03,111.51,88.21,200.00,56.45,60.62,31.79,92.42,50,15,B,B
16,Central 1,222053,,222053,ACCESSCORP AUTOMOBILE SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,844,103.69,98.18,32.56,90.04,135.83,189.29,49.96,62.56,29.74,92.29,51,16,B,B
17,Central 1,622101,,622101,SUBANG JAYA,Brh,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,2542,98.83,97.25,47.87,89.32,114.35,200.00,52.30,59.46,32.38,91.84,53,17,B,B
18,Central 1,622202,,622202,CHERAS,Brh,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,2127,106.40,103.73,49.46,151.24,125.25,83.33,51.04,68.93,22.87,91.80,54,18,B,B
19,Central 1,622203,,622203,KERAMAT,Brh,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,2302,99.44,95.06,46.02,112.38,117.58,135.56,53.88,61.41,27.46,88.87,62,19,B,B
20,Central 1,221049,,221049,FRONTLINE MOTOR SDN BHD,Dlr,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,1521,99.41,92.80,30.97,92.01,109.85,196.12,46.38,58.33,29.30,87.63,64,20,B,B
21,Central 1,622201,,622201,KEPONG,Brh,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,2087,92.96,86.88,50.03,94.92,95.41,191.67,53.21,54.71,32.11,86.82,77,21,D,B
22,Central 1,622206,,622206,SS QSS B.CAVES,Brh,2S,0,0.00,,0.00,0.00,0.00,0.00,0.00,821,101.48,103.22,28.09,0.00,0.00,184.91,53.43,43.04,29.86,72.90,78,22,D,D
1,Central 2,522106,PSSB GLENMARIE,622106,GLENMARIE,Brh,3S,197,119.39,187.01,160.30,,107.07,149.58,111.43,3265,103.45,102.33,51.36,129.20,127.89,199.22,55.76,82.81,39.62,122.43,3,1,A,A
2,Central 2,121167,YUSMANIDA AUTO SDN BHD,221101,YUSMANIDA AUTO SDN BHD,Dlr,3S,133,103.10,111.01,155.00,,114.29,161.67,50.00,3553,123.37,133.52,53.99,124.00,136.57,199.05,51.61,74.26,38.59,112.85,14,2,A,A
3,Central 2,121042,AUTOCRAFT MOTOR CARRIAGES SB,221025,AUTOCRAFT MOTOR CARRIAGES SDN BHD,Dlr,3S,260,104.84,110.79,135.95,,78.95,112.19,0.00,2195,120.94,118.31,18.53,81.79,108.62,198.44,130.35,62.61,44.01,106.62,27,3,A,A
4,Central 2,522205,PSSB BALAKONG,622205,BALAKONG,Brh,3S,144,108.27,102.88,140.51,,102.11,133.75,82.14,2485,80.84,75.20,57.59,49.54,82.29,193.60,47.32,62.01,36.20,98.21,49,4,A,C
5,Central 2,121176,DC AUTO SERVICES SDN BHD,221120,DC AUTO SERVICES SDN BHD (SUNGAI TUA),Dlr,3S,246,123.00,141.72,148.52,,29.09,19.22,0.00,1515,129.16,126.39,30.65,95.72,117.88,196.83,58.01,60.79,37.24,98.03,50,5,A,A
6,Central 2,121096,PB MOTOR SDN BHD,221090,P.B. MOTOR SDN. BHD.,Dlr,3S,244,100.00,104.79,126.05,,95.59,128.28,0.00,1523,102.42,101.26,8.23,66.74,140.56,194.60,48.99,61.11,32.09,93.20,62,8,A,A
7,Central 2,121094,DMM SALES SDN BHD(SERI KEM),222037,DMM SALES SDN BHD (SERI KEMBANGAN),Dlr,3S,142,105.97,117.91,147.85,,76.19,44.00,0.00,1761,97.62,91.76,48.17,89.67,128.57,198.52,49.91,55.85,37.18,93.03,64,9,A,A
8,Central 2,122068,ALLY SALES SDN BHD,222117,ACCESSCORP AUTOMOBILE SDN BHD (KG.BARU),Dlr,3S,111,103.74,93.23,130.39,,18.92,21.82,0.00,963,137.18,124.40,44.05,135.63,139.17,190.00,60.41,56.03,35.66,91.69,68,10,A,A
9,Central 2,121056,ZUMITAS SDN BHD,221122,ZUMITAS SDN BHD,Dlr,3S,141,106.02,116.81,128.27,,29.55,37.33,0.00,729,119.90,109.37,32.00,134.06,83.04,200.00,50.54,55.72,34.08,89.80,72,11,A,A
10,Central 2,121170,NAGOYA AUTOMOBILE MALAYSIA HOLDING SDN BHD,221105,NAGOYA AUTOMOBILE MALAYSIA HOLDING SDN. BHD.,Dlr,3S,177,103.51,101.38,142.21,,49.06,62.29,0.00,1971,102.07,95.86,26.13,79.41,124.13,197.75,50.20,53.58,35.32,88.90,77,12,A,A
11,Central 2,141147,TAKZIM DINAMIK SDN BHD,221116,TAKZIM DINAMIK SDN BHD,Dlr,3S,159,110.42,116.34,54.99,,73.68,82.22,0.00,1727,118.53,137.35,48.89,103.57,112.27,134.00,47.60,62.72,22.17,84.89,95,15,B,B
